number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_val_mae,user_attrs_val_r2,state
10,4.920461273193359,2026-06-04 19:07:28.970705,2026-06-04 19:08:04.965184,0 days 00:00:35.994479,0.5123624965472381,0.7422778799791094,0.5290547773746105,0.3093154119759749,lossguide,0.01555921232822592,3,3,10,137,0.00029599265881700884,4.246423732587946,0.5118930166473562,4.920461273193359,0.5558220982551575,COMPLETE
11,3.1893829822540285,2026-06-04 19:08:04.967284,2026-06-04 19:09:07.644367,0 days 00:01:02.677083,0.587626190093594,0.7670548699625337,0.9947548824948425,1.8625746727433434,lossguide,0.2935612240583799,8,9,1,345,1.054724684900098,1.0693143967572004e-05,0.611901399310562,3.1893829822540285,0.8191911101341247,COMPLETE
12,3.238416385650635,2026-06-04 19:09:07.647366,2026-06-04 19:10:05.683222,0 days 00:00:58.035856,0.6471978572635815,0.9830640627147937,0.9176778383331645,2.4228817165898184,lossguide,0.055231736484061884,7,7,5,107,0.09536658742228181,4.059986807749867e-06,0.7031310096596797,3.238416385650635,0.8128367304801941,COMPLETE
13,3.245869541168213,2026-06-04 19:10:05.686123,2026-06-04 19:11:29.038047,0 days 00:01:23.351924,0.5046050366429761,0.9952223889754925,0.7719535780919002,1.4335813576496552,lossguide,0.2897413600970671,6,10,3,411,0.18253681581960177,0.0012511984656267327,0.5542288684644145,3.245869541168213,0.8127325415611267,COMPLETE
14,3.5057249546051024,2026-06-04 19:11:29.040048,2026-06-04 19:12:45.067375,0 days 00:01:16.027327,0.715782585413102,0.8086114861854513,0.7077077288842278,3.401789092378215,lossguide,0.06694820645532534,8,5,3,262,0.003375002864463107,0.04156658272564114,0.6415176843276145,3.5057249546051024,0.7794231414794922,COMPLETE
15,3.236779069900513,2026-06-04 19:12:45.069366,2026-06-04 19:14:01.092046,0 days 00:01:16.022680,0.5900078234861401,0.6519034053407513,0.8533394232584309,1.970761956537691,lossguide,0.020993745420618434,10,9,5,517,4.7581385374509075,1.142539230547677e-06,0.8109193761891297,3.236779069900513,0.8130678415298462,COMPLETE
16,3.0463255405426026,2026-06-04 19:14:01.096046,2026-06-04 19:15:22.106251,0 days 00:01:21.010205,0.8121181265740157,0.9153354065584236,0.9480655737279361,0.9401686870430421,lossguide,0.14550339872440116,4,12,2,229,0.00026369615574780073,1.4161140314789387e-08,0.8192583453839631,3.0463255405426026,0.836721396446228,COMPLETE
17,3.0653472900390626,2026-06-04 19:15:22.107719,2026-06-04 19:16:42.502407,0 days 00:01:20.394688,0.8599600739768459,0.825756698705425,0.9578500348684654,0.014696170774372574,lossguide,0.019858878414331104,4,12,1,197,7.088929174691109e-05,1.2999908314086947e-08,0.7929302924037481,3.0653472900390626,0.8329792737960815,COMPLETE
18,3.6986945152282713,2026-06-04 19:16:42.505407,2026-06-04 19:18:05.191418,0 days 00:01:22.686011,0.8636992382672316,0.9264750506110087,0.9424844260355099,0.01569082151814638,depthwise,0.007191903528215102,3,12,1,172,4.189239173727494e-05,1.4299555037679977e-08,0.7367627107548769,3.6986945152282713,0.7465981602668762,COMPLETE
19,3.025645208358765,2026-06-04 19:18:05.194441,2026-06-04 19:19:33.837316,0 days 00:01:28.642875,0.999034664993629,0.7671890970572979,0.9987523864184132,0.7556266326433903,lossguide,0.022009166409812087,3,11,2,381,8.309092225896197e-05,1.1339655711348272e-08,0.861084113301299,3.025645208358765,0.839271628856659,COMPLETE
20,3.030645418167114,2026-06-04 19:19:33.840408,2026-06-04 19:20:53.345691,0 days 00:01:19.505283,0.9862670896573407,0.6798466159411554,0.9970962110153182,0.8944300837873076,lossguide,0.0368046619530861,3,11,4,407,1.1964634127251825e-06,4.384858603455965e-05,0.9950042567104965,3.030645418167114,0.838582181930542,COMPLETE
21,3.0356618881225588,2026-06-04 19:20:53.347775,2026-06-04 19:22:07.181781,0 days 00:01:13.834006,0.977415532388135,0.6728215646579652,0.9947235088131382,1.08665709530894,lossguide,0.03364860439234696,3,11,4,407,1.3457106542528393e-06,2.9897772173277486e-05,0.9909512325418777,3.0356618881225588,0.8381946802139282,COMPLETE
22,3.0294884204864503,2026-06-04 19:22:07.182783,2026-06-04 19:23:50.752298,0 days 00:01:43.569515,0.9894717795653191,0.6561688172833441,0.9999914120343948,0.8664965772158052,lossguide,0.03323773621472208,2,11,6,417,9.246997473850131e-07,4.646020556964347e-05,0.979452853681607,3.0294884204864503,0.8389513969421387,COMPLETE
23,3.0525522232055664,2026-06-04 19:23:50.754304,2026-06-04 19:25:45.356032,0 days 00:01:54.601728,0.9988595527395295,0.625487016347725,0.9988727078186386,0.7260315535505691,lossguide,0.005900002074307026,2,11,7,579,5.477484142065727e-07,0.000684818699478547,0.9960582016034042,3.0525522232055664,0.8353703141212463,COMPLETE
24,3.039135456085205,2026-06-04 19:25:45.358151,2026-06-04 19:26:38.114458,0 days 00:00:52.756307,0.914207314039762,0.736602566191476,0.8939322080206402,0.49472127351430584,lossguide,0.010299579311837326,2,10,6,490,1.769218052747517e-05,0.2546429964482403,0.8732338507016585,3.039135456085205,0.8373610734939575,COMPLETE
25,4.06839075088501,2026-06-04 19:26:38.118475,2026-06-04 19:27:57.433087,0 days 00:01:19.314612,0.9282502314041792,0.6065794481346639,0.9379806478443301,1.11525131554535,lossguide,0.002818404967297704,2,11,6,368,2.3637572051876024e-07,0.0024660440632884827,0.8684223629043125,4.06839075088501,0.6924088835716248,COMPLETE
26,3.572635221481323,2026-06-04 19:27:57.436078,2026-06-04 19:29:21.449396,0 days 00:01:24.013318,0.9887300723576244,0.7159034922075409,0.8756600277506259,2.043602382862141,depthwise,0.002107197337878015,4,10,8,746,1.9810872767576083e-06,4.342256509536421e-05,0.9788578644530607,3.572635221481323,0.7630222201347351,COMPLETE
27,3.022345781326294,2026-06-04 19:29:21.451393,2026-06-04 19:29:57.506605,0 days 00:00:36.055212,0.8881626404741021,0.7870334195129309,0.9651511117267577,0.452621135308464,lossguide,0.03417913351080966,1,11,4,603,8.213030683468667e-08,0.2436995143218315,0.863443370509037,3.022345781326294,0.8394303441047668,COMPLETE
28,3.0305041790008547,2026-06-04 19:29:57.508605,2026-06-04 19:31:06.193723,0 days 00:01:08.685118,0.8897664216569203,0.7878672902172649,0.9583218022441267,0.4479090006412027,lossguide,0.03740741167143384,1,10,6,613,1.5687497519079035e-08,8.936445032076309,0.851818945634926,3.0305041790008547,0.8388344287872315,COMPLETE
29,3.0859273433685304,2026-06-04 19:31:06.194698,2026-06-04 19:32:22.548305,0 days 00:01:16.353607,0.9447529809381714,0.5792000846564197,0.8228582127308538,0.3377856949235341,lossguide,0.011829953083208227,1,8,4,825,8.816441487407417e-08,0.047722718414174754,0.7743779670653719,3.0859273433685304,0.8314466118812561,COMPLETE
30,3.061377000808716,2026-06-04 19:32:22.551825,2026-06-04 19:33:26.530427,0 days 00:01:03.978602,0.8378206024285059,0.7679932583687809,0.8793107183117779,1.2740724547527567,lossguide,0.027764296142659295,0,12,5,643,1.0152175309060396e-08,0.8004843912240102,0.8551773355076642,3.061377000808716,0.8348655343055725,COMPLETE
31,3.036152982711792,2026-06-04 19:33:26.533720,2026-06-04 19:34:34.673902,0 days 00:01:08.140182,0.8947501423942553,0.7871448216285121,0.9580426736481537,0.5385308875640883,lossguide,0.05152657113983173,1,10,6,596,1.0328744596878684e-08,9.351872682641504,0.8469795854084249,3.036152982711792,0.8380317687988281,COMPLETE
32,3.072168779373169,2026-06-04 19:34:34.676898,2026-06-04 19:36:02.690653,0 days 00:01:28.013755,0.9018605259831038,0.7135060001352795,0.9239705699448808,0.15495014388471684,lossguide,0.15880693168857082,2,11,8,727,4.511067907800508e-08,1.024493016700219,0.8885442458057567,3.072168779373169,0.8326610565185547,COMPLETE
33,3.0465901851654054,2026-06-04 19:36:02.693754,2026-06-04 19:37:18.728215,0 days 00:01:16.034461,0.9477142587934383,0.7966500966291707,0.9644039422985538,0.6058356338406817,lossguide,0.039634567177513826,1,9,6,587,1.679189010062973e-07,1.8860641630342156,0.7591331610065966,3.0465901851654054,0.8369089841842652,COMPLETE
34,3.072011041641235,2026-06-04 19:37:18.729883,2026-06-04 19:38:07.406189,0 days 00:00:48.676306,0.7740179941235721,0.869586357578519,0.968172043596212,1.6599883563273727,lossguide,0.012908085776128111,0,10,2,486,4.2296754138381234e-07,0.11647228671659704,0.8453863773170331,3.072011041641235,0.8338927388191223,COMPLETE
